"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 250","23 Mar 2015","","","","4233.80"
"NIFTY SMALLCAP 250","20 Mar 2015","-","-","-","4281.77"
"NIFTY SMALLCAP 250","19 Mar 2015","","","","4373.70"
"NIFTY SMALLCAP 250","18 Mar 2015","-","-","-","4412.58"
"NIFTY SMALLCAP 250","17 Mar 2015","","","","4395.10"
"NIFTY SMALLCAP 250","16 Mar 2015","-","-","-","4376.74"
"NIFTY SMALLCAP 250","13 Mar 2015","","","","4408.50"
"NIFTY SMALLCAP 250","12 Mar 2015","-","-","-","4461.67"
"NIFTY SMALLCAP 250","11 Mar 2015","","","","4400.70"
"NIFTY SMALLCAP 250","10 Mar 2015","-","-","-","4409.14"
"NIFTY SMALLCAP 250","09 Mar 2015","","","","4413.20"
"NIFTY SMALLCAP 250","05 Mar 2015","-","-","-","4472.04"
"NIFTY SMALLCAP 250","04 Mar 2015","","","","4444.70"
"NIFTY SMALLCAP 250","03 Mar 2015","-","-","-","4501.16"
"NIFTY SMALLCAP 250","02 Mar 2015","","","","4434.30"
"NIFTY SMALLCAP 250","28 Feb 2015","-","-","-","4369.42"
"NIFTY SMALLCAP 250","27 Feb 2015","","","","4392.00"
"NIFTY SMALLCAP 250","26 Feb 2015","-","-","-","4318.85"
"NIFTY SMALLCAP 250","25 Feb 2015","-","-","-","4342.50"
"NIFTY SMALLCAP 250","24 Feb 2015","-","-","-","4353.43"
"NIFTY SMALLCAP 250","23 Feb 2015","","","","4371.10"
"NIFTY SMALLCAP 250","20 Feb 2015","-","-","-","4410.95"
"NIFTY SMALLCAP 250","19 Feb 2015","","","","4407.40"
"NIFTY SMALLCAP 250","18 Feb 2015","-","-","-","4396.74"
"NIFTY SMALLCAP 250","16 Feb 2015","","","","4356.10"
"NIFTY SMALLCAP 250","13 Feb 2015","-","-","-","4352.18"
"NIFTY SMALLCAP 250","12 Feb 2015","","","","4333.80"
"NIFTY SMALLCAP 250","11 Feb 2015","-","-","-","4269.84"
"NIFTY SMALLCAP 250","10 Feb 2015","","","","4204.50"
"NIFTY SMALLCAP 250","09 Feb 2015","-","-","-","4200.54"
"NIFTY SMALLCAP 250","06 Feb 2015","","","","4255.90"
"NIFTY SMALLCAP 250","05 Feb 2015","-","-","-","4322.41"
"NIFTY SMALLCAP 250","04 Feb 2015","","","","4368.70"
"NIFTY SMALLCAP 250","03 Feb 2015","-","-","-","4388.55"
"NIFTY SMALLCAP 250","02 Feb 2015","-","-","-","4392.40"
"NIFTY SMALLCAP 250","30 Jan 2015","-","-","-","4343.82"
"NIFTY SMALLCAP 250","29 Jan 2015","","","","4349.10"
"NIFTY SMALLCAP 250","28 Jan 2015","-","-","-","4343.49"
"NIFTY SMALLCAP 250","27 Jan 2015","-","-","-","4350.30"
"NIFTY SMALLCAP 250","23 Jan 2015","","","","4329.60"
"NIFTY SMALLCAP 250","22 Jan 2015","-","-","-","4353.68"
"NIFTY SMALLCAP 250","21 Jan 2015","-","-","-","4336.30"
"NIFTY SMALLCAP 250","20 Jan 2015","","","","4353.70"
"NIFTY SMALLCAP 250","19 Jan 2015","-","-","-","4327.96"
"NIFTY SMALLCAP 250","16 Jan 2015","-","-","-","4300.10"
"NIFTY SMALLCAP 250","15 Jan 2015","","","","4286.30"
"NIFTY SMALLCAP 250","14 Jan 2015","-","-","-","4227.11"
"NIFTY SMALLCAP 250","13 Jan 2015","","","","4243.00"
"NIFTY SMALLCAP 250","12 Jan 2015","-","-","-","4237.27"
"NIFTY SMALLCAP 250","09 Jan 2015","","","","4201.40"
"NIFTY SMALLCAP 250","08 Jan 2015","-","-","-","4204.87"
"NIFTY SMALLCAP 250","07 Jan 2015","","","","4126.40"
"NIFTY SMALLCAP 250","06 Jan 2015","-","-","-","4120.45"
"NIFTY SMALLCAP 250","05 Jan 2015","","","","4255.30"
"NIFTY SMALLCAP 250","02 Jan 2015","-","-","-","4236.16"
"NIFTY SMALLCAP 250","01 Jan 2015","","","","4208.20"
"NIFTY SMALLCAP 250","31 Dec 2014","-","-","-","4158.75"
"NIFTY SMALLCAP 250","30 Dec 2014","","","","4095.50"
"NIFTY SMALLCAP 250","29 Dec 2014","-","-","-","4069.02"
"NIFTY SMALLCAP 250","26 Dec 2014","","","","4046.40"
"NIFTY SMALLCAP 250","24 Dec 2014","-","-","-","4040.51"
"NIFTY SMALLCAP 250","23 Dec 2014","-","-","-","4031.60"
"NIFTY SMALLCAP 250","22 Dec 2014","-","-","-","4045.14"
"NIFTY SMALLCAP 250","19 Dec 2014","","","","4011.00"
"NIFTY SMALLCAP 250","18 Dec 2014","-","-","-","3987.17"
"NIFTY SMALLCAP 250","17 Dec 2014","","","","3868.80"
"NIFTY SMALLCAP 250","16 Dec 2014","-","-","-","3905.54"
"NIFTY SMALLCAP 250","15 Dec 2014","","","","4046.40"
"NIFTY SMALLCAP 250","12 Dec 2014","-","-","-","4060.04"
"NIFTY SMALLCAP 250","11 Dec 2014","","","","4124.50"
"NIFTY SMALLCAP 250","10 Dec 2014","-","-","-","4152.86"
"NIFTY SMALLCAP 250","09 Dec 2014","","","","4102.90"
"NIFTY SMALLCAP 250","08 Dec 2014","-","-","-","4169.21"
"NIFTY SMALLCAP 250","05 Dec 2014","","","","4210.70"
"NIFTY SMALLCAP 250","04 Dec 2014","-","-","-","4211.22"
"NIFTY SMALLCAP 250","03 Dec 2014","","","","4187.80"
"NIFTY SMALLCAP 250","02 Dec 2014","-","-","-","4124.55"
"NIFTY SMALLCAP 250","01 Dec 2014","","","","4094.10"
"NIFTY SMALLCAP 250","28 Nov 2014","-","-","-","4128.37"
"NIFTY SMALLCAP 250","27 Nov 2014","","","","4113.70"
"NIFTY SMALLCAP 250","26 Nov 2014","-","-","-","4103.06"
"NIFTY SMALLCAP 250","25 Nov 2014","","","","4072.40"
"NIFTY SMALLCAP 250","24 Nov 2014","-","-","-","4158.49"
"NIFTY SMALLCAP 250","21 Nov 2014","","","","4165.90"
"NIFTY SMALLCAP 250","20 Nov 2014","-","-","-","4184.07"
"NIFTY SMALLCAP 250","19 Nov 2014","","","","4198.60"
"NIFTY SMALLCAP 250","18 Nov 2014","-","-","-","4233.63"
"NIFTY SMALLCAP 250","17 Nov 2014","","","","4213.20"
"NIFTY SMALLCAP 250","14 Nov 2014","-","-","-","4159.49"
"NIFTY SMALLCAP 250","13 Nov 2014","-","-","-","4137.20"
"NIFTY SMALLCAP 250","12 Nov 2014","","","","4148.70"
"NIFTY SMALLCAP 250","11 Nov 2014","-","-","-","4140.78"
"NIFTY SMALLCAP 250","10 Nov 2014","-","-","-","4110.30"
"NIFTY SMALLCAP 250","07 Nov 2014","-","-","-","4110.58"
"NIFTY SMALLCAP 250","05 Nov 2014","","","","4113.00"
"NIFTY SMALLCAP 250","03 Nov 2014","-","-","-","4106.37"
"NIFTY SMALLCAP 250","31 Oct 2014","","","","4054.30"
"NIFTY SMALLCAP 250","30 Oct 2014","-","-","-","4001.56"
"NIFTY SMALLCAP 250","29 Oct 2014","","","","3976.00"
"NIFTY SMALLCAP 250","28 Oct 2014","-","-","-","3943.34"
"NIFTY SMALLCAP 250","27 Oct 2014","-","-","-","3930.30"
"NIFTY SMALLCAP 250","23 Oct 2014","","","","3954.40"
"NIFTY SMALLCAP 250","22 Oct 2014","-","-","-","3911.58"
"NIFTY SMALLCAP 250","21 Oct 2014","","","","3864.10"
"NIFTY SMALLCAP 250","20 Oct 2014","-","-","-","3842.71"
"NIFTY SMALLCAP 250","17 Oct 2014","-","-","-","3812.90"
"NIFTY SMALLCAP 250","16 Oct 2014","-","-","-","3807.87"
"NIFTY SMALLCAP 250","14 Oct 2014","","","","3926.70"
"NIFTY SMALLCAP 250","13 Oct 2014","-","-","-","3924.96"
"NIFTY SMALLCAP 250","10 Oct 2014","","","","3900.70"
"NIFTY SMALLCAP 250","09 Oct 2014","-","-","-","3950.29"
"NIFTY SMALLCAP 250","08 Oct 2014","","","","3881.20"
"NIFTY SMALLCAP 250","07 Oct 2014","-","-","-","3889.68"
"NIFTY SMALLCAP 250","01 Oct 2014","","","","3929.50"
"NIFTY SMALLCAP 250","30 Sep 2014","-","-","-","3948.94"
"NIFTY SMALLCAP 250","29 Sep 2014","","","","3938.00"
"NIFTY SMALLCAP 250","26 Sep 2014","-","-","-","3865.19"
"NIFTY SMALLCAP 250","25 Sep 2014","","","","3844.50"
"NIFTY SMALLCAP 250","24 Sep 2014","-","-","-","3979.35"
"NIFTY SMALLCAP 250","23 Sep 2014","","","","4054.00"
"NIFTY SMALLCAP 250","22 Sep 2014","-","-","-","4154.07"
"NIFTY SMALLCAP 250","19 Sep 2014","","","","4136.20"
"NIFTY SMALLCAP 250","18 Sep 2014","-","-","-","4099.32"
"NIFTY SMALLCAP 250","17 Sep 2014","","","","3999.50"
"NIFTY SMALLCAP 250","16 Sep 2014","-","-","-","3995.56"
"NIFTY SMALLCAP 250","15 Sep 2014","","","","4155.40"
"NIFTY SMALLCAP 250","12 Sep 2014","-","-","-","4144.69"
"NIFTY SMALLCAP 250","11 Sep 2014","","","","4123.80"
"NIFTY SMALLCAP 250","10 Sep 2014","-","-","-","4066.94"
"NIFTY SMALLCAP 250","09 Sep 2014","","","","4048.00"
"NIFTY SMALLCAP 250","08 Sep 2014","-","-","-","4026.46"
"NIFTY SMALLCAP 250","05 Sep 2014","","","","3964.40"
"NIFTY SMALLCAP 250","04 Sep 2014","-","-","-","3941.15"
"NIFTY SMALLCAP 250","03 Sep 2014","","","","3958.50"
"NIFTY SMALLCAP 250","02 Sep 2014","-","-","-","3932.79"
"NIFTY SMALLCAP 250","01 Sep 2014","-","-","-","3889.90"
"NIFTY SMALLCAP 250","28 Aug 2014","-","-","-","3834.32"
"NIFTY SMALLCAP 250","27 Aug 2014","","","","3837.40"
"NIFTY SMALLCAP 250","26 Aug 2014","-","-","-","3809.37"
"NIFTY SMALLCAP 250","25 Aug 2014","","","","3833.40"
"NIFTY SMALLCAP 250","22 Aug 2014","-","-","-","3857.54"
"NIFTY SMALLCAP 250","21 Aug 2014","","","","3856.20"
"NIFTY SMALLCAP 250","20 Aug 2014","-","-","-","3850.81"
"NIFTY SMALLCAP 250","19 Aug 2014","","","","3841.30"
"NIFTY SMALLCAP 250","18 Aug 2014","-","-","-","3790.52"
"NIFTY SMALLCAP 250","14 Aug 2014","","","","3702.00"
"NIFTY SMALLCAP 250","13 Aug 2014","-","-","-","3655.91"
"NIFTY SMALLCAP 250","12 Aug 2014","","","","3743.10"
"NIFTY SMALLCAP 250","11 Aug 2014","-","-","-","3722.29"
"NIFTY SMALLCAP 250","08 Aug 2014","","","","3700.70"
"NIFTY SMALLCAP 250","07 Aug 2014","-","-","-","3788.33"
"NIFTY SMALLCAP 250","06 Aug 2014","","","","3807.30"
"NIFTY SMALLCAP 250","05 Aug 2014","-","-","-","3821.55"
"NIFTY SMALLCAP 250","04 Aug 2014","","","","3778.40"
"NIFTY SMALLCAP 250","01 Aug 2014","-","-","-","3738.19"
"NIFTY SMALLCAP 250","31 Jul 2014","","","","3777.70"
"NIFTY SMALLCAP 250","30 Jul 2014","-","-","-","3769.68"
"NIFTY SMALLCAP 250","28 Jul 2014","","","","3769.20"
"NIFTY SMALLCAP 250","25 Jul 2014","-","-","-","3794.33"
"NIFTY SMALLCAP 250","24 Jul 2014","","","","3864.00"
"NIFTY SMALLCAP 250","23 Jul 2014","-","-","-","3865.05"
"NIFTY SMALLCAP 250","22 Jul 2014","","","","3888.20"
"NIFTY SMALLCAP 250","21 Jul 2014","-","-","-","3892.19"
"NIFTY SMALLCAP 250","18 Jul 2014","","","","3863.70"
"NIFTY SMALLCAP 250","17 Jul 2014","","","","3863.00"
"NIFTY SMALLCAP 250","16 Jul 2014","-","-","-","3806.50"
"NIFTY SMALLCAP 250","15 Jul 2014","-","-","-","3733.95"
"NIFTY SMALLCAP 250","14 Jul 2014","","","","3655.50"
"NIFTY SMALLCAP 250","11 Jul 2014","-","-","-","3673.95"
"NIFTY SMALLCAP 250","10 Jul 2014","","","","3788.10"
"NIFTY SMALLCAP 250","09 Jul 2014","-","-","-","3755.56"
"NIFTY SMALLCAP 250","08 Jul 2014","","","","3827.00"
"NIFTY SMALLCAP 250","07 Jul 2014","","","","3987.30"
"NIFTY SMALLCAP 250","04 Jul 2014","-","-","-","3979.80"
"NIFTY SMALLCAP 250","03 Jul 2014","-","-","-","3948.17"
"NIFTY SMALLCAP 250","02 Jul 2014","","","","3966.40"
"NIFTY SMALLCAP 250","01 Jul 2014","-","-","-","3918.71"
"NIFTY SMALLCAP 250","30 Jun 2014","-","-","-","3885.80"
"NIFTY SMALLCAP 250","27 Jun 2014","-","-","-","3813.74"
"NIFTY SMALLCAP 250","26 Jun 2014","","","","3802.60"
